GW,H,A,Pred Home,Pred Away,Acc Home,Acc Away,A Strength,H Strength,GD/Winner,,Correct pred?,Merit H,Merit A,,Merit2 H,Merit2 A,,,,,,
6,AVL,FUL,0,2,3,1,34,43,2,,FALSE,3.06,0.32,,3,0.02,,,,,,
6,NEW,ARS,0,1,1,2,47,33,-1,,TRUE,0.4,3.03,,0.02,3,,,,,,
6,EVE,WHU,3,2,1,1,19,32,0,,,0.75,1.03,,0.98,1.02,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
7,BOU,FUL,2,1,3,1,34,27,2,,TRUE,3.06,-0.03,,3,0,,,,,,
7,LEE,TOT,3,1,1,2,25,26,-1,,FALSE,-0.08,2.88,,-0.01,2.99,,,,,,
7,ARS,WHU,3,0,2,0,20,47,2,,TRUE,2.75,0.4,,2.99,0.02,,,,,,
7,MUN,SUN,2,1,2,0,33,35,2,,TRUE,3.03,0.14,,3,0.01,,,,,,
7,CHE,LIV,2,1,2,1,36,34,1,,TRUE,3.1,0.12,,3.01,0.01,,,,,,
7,AVL,BUR,1,2,2,1,15,43,1,,FALSE,2.64,0.32,,2.98,0.02,,,,,,
7,EVE,CP,0,2,2,1,28,30,1,,FALSE,2.93,0.03,,3,0,,,,,,
7,NEW,NFO,2,0,2,0,25,30,2,,TRUE,2.86,0.03,,2.99,0,,,,,,
7,WOL,BHA,1,2,1,1,29,7,0,,,0.97,0.49,,1.03,0.97,,,,,,
7,BRE,MCI,1,3,0,1,43,33,-1,,TRUE,0.32,3.03,,0.02,3,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
8,NFO,CHE,1,3,0,3,34,25,-3,,TRUE,0.12,2.86,,0,2.99,,,,,,
8,BHA,NEW,1,2,2,1,33,27,1,,FALSE,3.03,-0.03,,3,0,,,,,,
8,BUR,LEE,2,1,2,0,26,12,2,,TRUE,2.88,-0.36,,2.99,-0.03,,,,,,
8,CP,BOU,2,1,3,3,29,27,0,,,0.97,0.93,,1,1,,,,,,
8,MCI,EVE,3,1,2,0,33,43,2,,TRUE,3.03,0.32,,3,0.02,,,,,,
8,SUN,WOL,2,1,2,0,8,30,2,,TRUE,2.49,0.03,,2.97,0,,,,,,
8,FUL,ARS,1,3,0,1,47,34,-1,,TRUE,0.4,3.06,,0.02,3,,,,,,
8,TOT,AVL,2,1,1,2,43,28,-1,,FALSE,0.32,2.93,,0.02,3,,,,,,
8,LIV,MUN,2,1,1,2,35,36,-1,,FALSE,0.14,3.1,,0.01,3.01,,,,,,
